index_date,magalu_(reais),vendas_varejo
2015-01-01,0.227020926411193,99.9316122578108
2015-02-01,0.204336787514144,98.4278512806807
2015-03-01,0.169608048014442,98.7692469190226
2015-04-01,0.151811522690874,98.8313090115034
2015-05-01,0.133640163470426,98.9224927965994
2015-06-01,0.109434316188023,97.4075489889909
2015-07-01,0.109473843546704,99.2341903326482
2015-08-01,0.0737089061951727,96.095340940278
2015-09-01,0.0544712691225884,96.8854626155982
2015-10-01,0.0435084632890323,98.7484638516919
2015-11-01,0.0343842021727182,94.8742677879741
2015-12-01,0.0722838697231494,98.6700844225106
2016-01-01,0.0585201115859809,94.7075275715837
2016-02-01,0.0828553412143318,101.263005680975
2016-03-01,0.121941292862477,99.7711109742066
2016-04-01,0.121790785170049,98.260098299373
2016-05-01,0.136820421458307,96.9411231438756
2016-06-01,0.149606154700919,97.9931118980924
2016-07-01,0.174589953114926,97.2974735187259
2016-08-01,0.219566866014974,97.1052869839988
2016-09-01,0.291228095796137,96.9130311099905
2016-10-01,0.338415831607644,95.8133183955191
2016-11-01,0.402992264645967,95.6900970357613
2016-12-01,0.429351148586743,97.1945180488779
2017-01-01,0.522789358691817,97.955645097185
2017-02-01,0.869961578574055,99.0926384411671
2017-03-01,0.741465803638257,100.06623269468
2017-04-01,0.867014082007449,98.8143692941433
2017-05-01,1.00045311852787,101.67117205809
2017-06-01,0.997664551846247,101.639268211338
2017-07-01,1.38570867583959,100.629025919946
2017-08-01,2.06740225901278,101.694042238045
2017-09-01,2.27138903679686,103.084945145076
2017-10-01,1.85010625847778,100.644620395141
2017-11-01,1.75198821694929,102.05039999805
2017-12-01,2.54233974946473,103.289181715084
2018-01-01,2.72581098693491,104.798518420869
2018-02-01,3.01973403645775,103.859104519225
2018-03-01,3.32801675148691,110.527151638855
2018-04-01,3.4387199604264,107.437696971184
2018-05-01,3.50728922630361,104.934762755606
2018-06-01,3.99025451511201,108.622361437617
2018-07-01,3.94149604538435,106.179174542516
2018-08-01,3.75661485663571,111.209486818584
2018-09-01,3.74142741501563,108.443758203361
2018-10-01,4.89241928058197,110.301663835638
2018-11-01,5.09901529576443,110.967248351831
2018-12-01,5.66456818011409,108.566771189138
2019-01-01,5.7335256864425,111.288658807892
2019-02-01,5.7166104537414,113.895415576211
2019-03-01,5.95103039776935,112.03318481791
2019-04-01,6.38171401884837,115.769805929457
2019-05-01,6.39351486732984,116.015298767091
2019-06-01,6.52162810678867,113.287734243891
2019-07-01,7.72752954964771,115.630379349099
2019-08-01,8.29617337362152,114.984772381311
2019-09-01,9.00710880108436,114.178296971182
2019-10-01,10.3610670693622,117.199449227234
2019-11-01,11.2826399968557,116.526650893508
2019-12-01,11.8618463885104,117.621386096563
2020-01-01,14.2461115345229,119.054007642947
2020-02-01,13.28004278192,120.493966462887
2020-03-01,10.9124366541332,110.183062052512
2020-04-01,13.6018974074075,90.5891404506988
2020-05-01,16.8192581267607,100.920215677032
2020-06-01,17.5662223167865,113.598997718802
2020-07-01,18.5420290529291,120.45571139783
2020-08-01,20.97123656393,123.696725477607
2020-09-01,21.4799015380509,128.600728692593
2020-10-01,23.0628895529321,132.887415089864
2020-11-01,23.8332270531915,131.131767320086
2020-12-01,25.0009885074239,132.639576663171
2021-01-01,25.8907292215281,127.51263710032
2021-02-01,25.4355275625511,130.172067434416
2021-03-01,22.8202538335878,134.010744308259
2021-04-01,22.2069121018767,136.686390040693
2021-05-01,20.9051063931433,142.006047796505
2021-06-01,20.5556235466857,142.58958451958
2021-07-01,18.7126021236027,146.867516774712
2021-08-01,16.2357424302669,142.361701333952
2021-09-01,13.675701995818,142.20887267374
2021-10-01,10.2214590768343,142.425643883275
2021-11-01,8.06782754059713,146.049581896988
2021-12-01,,147.014216611781
2022-01-01,,147.760574463056
2022-02-01,,149.106197980528
2022-03-01,,149.543117749919
2022-04-01,,146.424509204601
2022-05-01,,148.987336573926
2022-06-01,,151.960558189742
2022-07-01,,153.439662969801
2022-08-01,,154.278121298857
2022-09-01,,155.209471830254
2022-10-01,,156.703140063983
2022-11-01,,156.680596934469
